datetime,timestamp,value,instance,job
2025-12-04 11:40:55,1764823255,33.34,127.0.0.1:1880,nodered
2025-12-04 11:41:00,1764823260,33.34,127.0.0.1:1880,nodered
2025-12-04 11:41:05,1764823265,33.34,127.0.0.1:1880,nodered
2025-12-04 11:41:10,1764823270,31.11,127.0.0.1:1880,nodered
2025-12-04 11:41:15,1764823275,31.11,127.0.0.1:1880,nodered
2025-12-04 11:41:20,1764823280,31.11,127.0.0.1:1880,nodered
2025-12-04 11:41:25,1764823285,28.74,127.0.0.1:1880,nodered
2025-12-04 11:41:30,1764823290,28.74,127.0.0.1:1880,nodered
2025-12-04 11:41:35,1764823295,28.74,127.0.0.1:1880,nodered
2025-12-04 11:41:40,1764823300,28.55,127.0.0.1:1880,nodered
2025-12-04 11:41:45,1764823305,28.55,127.0.0.1:1880,nodered
2025-12-04 11:41:50,1764823310,28.55,127.0.0.1:1880,nodered
2025-12-04 11:41:55,1764823315,24.13,127.0.0.1:1880,nodered
2025-12-04 11:42:00,1764823320,24.13,127.0.0.1:1880,nodered
2025-12-04 11:42:05,1764823325,24.13,127.0.0.1:1880,nodered
2025-12-04 11:42:10,1764823330,34.4,127.0.0.1:1880,nodered
2025-12-04 11:42:15,1764823335,34.4,127.0.0.1:1880,nodered
2025-12-04 11:42:20,1764823340,34.4,127.0.0.1:1880,nodered
2025-12-04 11:42:25,1764823345,30.08,127.0.0.1:1880,nodered
2025-12-04 11:42:30,1764823350,30.08,127.0.0.1:1880,nodered
2025-12-04 11:42:35,1764823355,30.08,127.0.0.1:1880,nodered
2025-12-04 11:42:40,1764823360,30.96,127.0.0.1:1880,nodered
2025-12-04 11:42:45,1764823365,30.96,127.0.0.1:1880,nodered
2025-12-04 11:42:50,1764823370,30.96,127.0.0.1:1880,nodered
2025-12-04 11:42:55,1764823375,32.36,127.0.0.1:1880,nodered
2025-12-04 11:43:00,1764823380,32.36,127.0.0.1:1880,nodered
2025-12-04 11:43:05,1764823385,32.36,127.0.0.1:1880,nodered
2025-12-04 11:43:10,1764823390,34.21,127.0.0.1:1880,nodered
2025-12-04 11:43:15,1764823395,34.21,127.0.0.1:1880,nodered
2025-12-04 11:43:20,1764823400,34.21,127.0.0.1:1880,nodered
2025-12-04 11:43:25,1764823405,29.52,127.0.0.1:1880,nodered
2025-12-04 11:43:30,1764823410,29.52,127.0.0.1:1880,nodered
2025-12-04 11:43:35,1764823415,29.52,127.0.0.1:1880,nodered
2025-12-04 11:43:40,1764823420,28.62,127.0.0.1:1880,nodered
2025-12-04 11:43:45,1764823425,28.62,127.0.0.1:1880,nodered
2025-12-04 11:43:50,1764823430,28.62,127.0.0.1:1880,nodered
2025-12-04 11:43:55,1764823435,26.7,127.0.0.1:1880,nodered
2025-12-04 11:44:00,1764823440,26.7,127.0.0.1:1880,nodered
2025-12-04 11:44:05,1764823445,26.7,127.0.0.1:1880,nodered
2025-12-04 11:44:10,1764823450,23.9,127.0.0.1:1880,nodered
2025-12-04 11:44:15,1764823455,23.9,127.0.0.1:1880,nodered
2025-12-04 11:44:20,1764823460,23.9,127.0.0.1:1880,nodered
2025-12-04 11:44:25,1764823465,28.32,127.0.0.1:1880,nodered
2025-12-04 11:44:30,1764823470,28.32,127.0.0.1:1880,nodered
2025-12-04 11:44:35,1764823475,28.32,127.0.0.1:1880,nodered
2025-12-04 11:44:40,1764823480,31.43,127.0.0.1:1880,nodered
2025-12-04 11:44:45,1764823485,31.43,127.0.0.1:1880,nodered
2025-12-04 11:44:50,1764823490,31.43,127.0.0.1:1880,nodered
2025-12-04 11:44:55,1764823495,32.92,127.0.0.1:1880,nodered
2025-12-04 11:45:00,1764823500,32.92,127.0.0.1:1880,nodered
2025-12-04 11:45:05,1764823505,32.92,127.0.0.1:1880,nodered
2025-12-04 11:45:10,1764823510,26.46,127.0.0.1:1880,nodered
2025-12-04 11:45:15,1764823515,26.46,127.0.0.1:1880,nodered
2025-12-04 11:45:20,1764823520,26.46,127.0.0.1:1880,nodered
2025-12-04 11:45:25,1764823525,33.57,127.0.0.1:1880,nodered
2025-12-04 11:45:30,1764823530,33.57,127.0.0.1:1880,nodered
2025-12-04 11:45:35,1764823535,33.57,127.0.0.1:1880,nodered
2025-12-04 11:45:40,1764823540,30.27,127.0.0.1:1880,nodered
2025-12-04 11:45:45,1764823545,30.27,127.0.0.1:1880,nodered
2025-12-04 11:45:50,1764823550,30.27,127.0.0.1:1880,nodered
2025-12-04 11:45:55,1764823555,31.69,127.0.0.1:1880,nodered
2025-12-04 11:46:00,1764823560,31.69,127.0.0.1:1880,nodered
2025-12-04 11:46:05,1764823565,31.69,127.0.0.1:1880,nodered
2025-12-04 11:46:10,1764823570,25.84,127.0.0.1:1880,nodered
2025-12-04 11:46:15,1764823575,25.84,127.0.0.1:1880,nodered
2025-12-04 11:46:20,1764823580,25.84,127.0.0.1:1880,nodered
2025-12-04 11:46:25,1764823585,28.07,127.0.0.1:1880,nodered
2025-12-04 11:46:30,1764823590,28.07,127.0.0.1:1880,nodered
2025-12-04 11:46:35,1764823595,28.07,127.0.0.1:1880,nodered
2025-12-04 11:46:40,1764823600,25.74,127.0.0.1:1880,nodered
2025-12-04 11:46:45,1764823605,25.74,127.0.0.1:1880,nodered
2025-12-04 11:46:50,1764823610,25.74,127.0.0.1:1880,nodered
2025-12-04 11:46:55,1764823615,24.79,127.0.0.1:1880,nodered
2025-12-04 11:47:00,1764823620,24.79,127.0.0.1:1880,nodered
2025-12-04 11:47:05,1764823625,24.79,127.0.0.1:1880,nodered
2025-12-04 11:47:10,1764823630,31.58,127.0.0.1:1880,nodered
2025-12-04 11:47:15,1764823635,31.58,127.0.0.1:1880,nodered
2025-12-04 11:47:20,1764823640,31.58,127.0.0.1:1880,nodered
2025-12-04 11:47:25,1764823645,20.55,127.0.0.1:1880,nodered
2025-12-04 11:47:30,1764823650,20.55,127.0.0.1:1880,nodered
2025-12-04 11:47:35,1764823655,20.55,127.0.0.1:1880,nodered
2025-12-04 11:47:40,1764823660,24.94,127.0.0.1:1880,nodered
2025-12-04 11:47:45,1764823665,24.94,127.0.0.1:1880,nodered
2025-12-04 11:47:50,1764823670,24.94,127.0.0.1:1880,nodered
2025-12-04 11:47:55,1764823675,23.7,127.0.0.1:1880,nodered
2025-12-04 11:48:00,1764823680,23.7,127.0.0.1:1880,nodered
2025-12-04 11:48:05,1764823685,23.7,127.0.0.1:1880,nodered
2025-12-04 11:48:10,1764823690,22.41,127.0.0.1:1880,nodered
2025-12-04 11:48:15,1764823695,22.41,127.0.0.1:1880,nodered
2025-12-04 11:48:20,1764823700,22.41,127.0.0.1:1880,nodered
2025-12-04 11:48:25,1764823705,22.95,127.0.0.1:1880,nodered
2025-12-04 11:48:30,1764823710,22.95,127.0.0.1:1880,nodered
2025-12-04 11:48:35,1764823715,22.95,127.0.0.1:1880,nodered
2025-12-04 11:48:40,1764823720,27.71,127.0.0.1:1880,nodered
2025-12-04 11:48:45,1764823725,27.71,127.0.0.1:1880,nodered
2025-12-04 11:48:50,1764823730,27.71,127.0.0.1:1880,nodered
2025-12-04 11:48:55,1764823735,25.77,127.0.0.1:1880,nodered
2025-12-04 11:49:00,1764823740,25.77,127.0.0.1:1880,nodered
2025-12-04 11:49:05,1764823745,25.77,127.0.0.1:1880,nodered
2025-12-04 11:49:10,1764823750,30.37,127.0.0.1:1880,nodered
2025-12-04 11:49:15,1764823755,30.37,127.0.0.1:1880,nodered
2025-12-04 11:49:20,1764823760,30.37,127.0.0.1:1880,nodered
2025-12-04 11:49:25,1764823765,20.03,127.0.0.1:1880,nodered
2025-12-04 11:49:30,1764823770,20.03,127.0.0.1:1880,nodered
2025-12-04 11:49:35,1764823775,20.03,127.0.0.1:1880,nodered
2025-12-04 11:49:40,1764823780,21.27,127.0.0.1:1880,nodered
2025-12-04 11:49:45,1764823785,21.27,127.0.0.1:1880,nodered
2025-12-04 11:49:50,1764823790,21.27,127.0.0.1:1880,nodered
2025-12-04 11:49:55,1764823795,23.76,127.0.0.1:1880,nodered
2025-12-04 11:50:00,1764823800,23.76,127.0.0.1:1880,nodered
2025-12-04 11:50:05,1764823805,23.76,127.0.0.1:1880,nodered
2025-12-04 11:50:10,1764823810,31.82,127.0.0.1:1880,nodered
2025-12-04 11:50:15,1764823815,31.82,127.0.0.1:1880,nodered
2025-12-04 11:50:20,1764823820,31.82,127.0.0.1:1880,nodered
2025-12-04 11:50:25,1764823825,21.84,127.0.0.1:1880,nodered
2025-12-04 11:50:30,1764823830,21.84,127.0.0.1:1880,nodered
2025-12-04 11:50:35,1764823835,21.84,127.0.0.1:1880,nodered
2025-12-04 11:50:40,1764823840,24.32,127.0.0.1:1880,nodered
2025-12-04 11:50:45,1764823845,24.32,127.0.0.1:1880,nodered
2025-12-04 11:50:50,1764823850,24.32,127.0.0.1:1880,nodered
2025-12-04 11:50:55,1764823855,29.06,127.0.0.1:1880,nodered
2025-12-04 11:51:00,1764823860,29.06,127.0.0.1:1880,nodered
2025-12-04 11:51:05,1764823865,29.06,127.0.0.1:1880,nodered
2025-12-04 11:51:10,1764823870,27.94,127.0.0.1:1880,nodered
2025-12-04 11:51:15,1764823875,27.94,127.0.0.1:1880,nodered
2025-12-04 11:51:20,1764823880,27.94,127.0.0.1:1880,nodered
2025-12-04 11:51:25,1764823885,30.52,127.0.0.1:1880,nodered
2025-12-04 11:51:30,1764823890,30.52,127.0.0.1:1880,nodered
2025-12-04 11:51:35,1764823895,30.52,127.0.0.1:1880,nodered
2025-12-04 11:51:40,1764823900,25.56,127.0.0.1:1880,nodered
2025-12-04 11:51:45,1764823905,25.56,127.0.0.1:1880,nodered
2025-12-04 11:51:50,1764823910,25.56,127.0.0.1:1880,nodered
2025-12-04 11:51:55,1764823915,22.06,127.0.0.1:1880,nodered
2025-12-04 11:52:00,1764823920,22.06,127.0.0.1:1880,nodered
2025-12-04 11:52:05,1764823925,22.06,127.0.0.1:1880,nodered
2025-12-04 11:52:10,1764823930,23.22,127.0.0.1:1880,nodered
2025-12-04 11:52:15,1764823935,23.22,127.0.0.1:1880,nodered
2025-12-04 11:52:20,1764823940,23.22,127.0.0.1:1880,nodered
2025-12-04 11:52:25,1764823945,20.17,127.0.0.1:1880,nodered
2025-12-04 11:52:30,1764823950,20.17,127.0.0.1:1880,nodered
2025-12-04 11:52:35,1764823955,20.17,127.0.0.1:1880,nodered
2025-12-04 11:52:40,1764823960,24.79,127.0.0.1:1880,nodered
2025-12-04 11:52:45,1764823965,24.79,127.0.0.1:1880,nodered
2025-12-04 11:52:50,1764823970,24.79,127.0.0.1:1880,nodered
2025-12-04 11:52:55,1764823975,29.22,127.0.0.1:1880,nodered
2025-12-04 11:53:00,1764823980,29.22,127.0.0.1:1880,nodered
2025-12-04 11:53:05,1764823985,29.22,127.0.0.1:1880,nodered
2025-12-04 11:53:10,1764823990,20.4,127.0.0.1:1880,nodered
2025-12-04 11:53:15,1764823995,20.4,127.0.0.1:1880,nodered
2025-12-04 11:53:20,1764824000,20.4,127.0.0.1:1880,nodered
2025-12-04 11:53:25,1764824005,25.08,127.0.0.1:1880,nodered
2025-12-04 11:53:30,1764824010,25.08,127.0.0.1:1880,nodered
2025-12-04 11:53:35,1764824015,25.08,127.0.0.1:1880,nodered
2025-12-04 11:53:40,1764824020,26.42,127.0.0.1:1880,nodered
2025-12-04 11:53:45,1764824025,26.42,127.0.0.1:1880,nodered
2025-12-04 11:53:50,1764824030,26.42,127.0.0.1:1880,nodered
2025-12-04 11:53:55,1764824035,34.32,127.0.0.1:1880,nodered
2025-12-04 11:54:00,1764824040,34.32,127.0.0.1:1880,nodered
2025-12-04 11:54:05,1764824045,34.32,127.0.0.1:1880,nodered
2025-12-04 11:54:10,1764824050,34.66,127.0.0.1:1880,nodered
2025-12-04 11:54:15,1764824055,34.66,127.0.0.1:1880,nodered
2025-12-04 11:54:20,1764824060,34.66,127.0.0.1:1880,nodered
2025-12-04 11:54:25,1764824065,21.89,127.0.0.1:1880,nodered
2025-12-04 11:54:30,1764824070,21.89,127.0.0.1:1880,nodered
2025-12-04 11:54:35,1764824075,21.89,127.0.0.1:1880,nodered
2025-12-04 11:54:40,1764824080,28.87,127.0.0.1:1880,nodered
2025-12-04 11:54:45,1764824085,28.87,127.0.0.1:1880,nodered
2025-12-04 11:54:50,1764824090,28.87,127.0.0.1:1880,nodered
2025-12-04 11:54:55,1764824095,32.77,127.0.0.1:1880,nodered
2025-12-04 11:55:00,1764824100,32.77,127.0.0.1:1880,nodered
2025-12-04 11:55:05,1764824105,32.77,127.0.0.1:1880,nodered
2025-12-04 11:55:10,1764824110,26.93,127.0.0.1:1880,nodered
2025-12-04 11:55:15,1764824115,26.93,127.0.0.1:1880,nodered
2025-12-04 11:55:20,1764824120,26.93,127.0.0.1:1880,nodered
2025-12-04 11:55:25,1764824125,32.01,127.0.0.1:1880,nodered
2025-12-04 11:55:30,1764824130,32.01,127.0.0.1:1880,nodered
2025-12-04 11:55:35,1764824135,32.01,127.0.0.1:1880,nodered
2025-12-04 11:55:40,1764824140,28.51,127.0.0.1:1880,nodered
2025-12-04 11:55:45,1764824145,28.51,127.0.0.1:1880,nodered
