datetime,timestamp,current,power,voltage,freq
2025-12-04 11:40:55,1764823255,33.34,25.44,24.99,
2025-12-04 11:41:00,1764823260,33.34,25.44,24.99,
2025-12-04 11:41:05,1764823265,33.34,25.44,24.99,
2025-12-04 11:41:10,1764823270,31.11,30.9,29.56,
2025-12-04 11:41:15,1764823275,31.11,30.9,29.56,
2025-12-04 11:41:20,1764823280,31.11,30.9,29.56,
2025-12-04 11:41:25,1764823285,28.74,21.49,31.23,
2025-12-04 11:41:30,1764823290,28.74,21.49,31.23,
2025-12-04 11:41:35,1764823295,28.74,21.49,31.23,
2025-12-04 11:41:40,1764823300,28.55,30.31,25.18,
2025-12-04 11:41:45,1764823305,28.55,30.31,25.18,
2025-12-04 11:41:50,1764823310,28.55,30.31,25.18,
2025-12-04 11:41:55,1764823315,24.13,27.98,23.45,
2025-12-04 11:42:00,1764823320,24.13,27.98,23.45,
2025-12-04 11:42:05,1764823325,24.13,27.98,23.45,
2025-12-04 11:42:10,1764823330,34.4,25.8,30.97,26.38
2025-12-04 11:42:15,1764823335,34.4,25.8,30.97,26.38
2025-12-04 11:42:20,1764823340,34.4,25.8,30.97,26.38
2025-12-04 11:42:25,1764823345,30.08,31.42,28.92,32.76
2025-12-04 11:42:30,1764823350,30.08,31.42,28.92,32.76
2025-12-04 11:42:35,1764823355,30.08,31.42,28.92,32.76
2025-12-04 11:42:40,1764823360,30.96,23.17,30.07,28.25
2025-12-04 11:42:45,1764823365,30.96,23.17,30.07,28.25
2025-12-04 11:42:50,1764823370,30.96,23.17,30.07,28.25
2025-12-04 11:42:55,1764823375,32.36,34.95,28.62,23.93
2025-12-04 11:43:00,1764823380,32.36,34.95,28.62,23.93
2025-12-04 11:43:05,1764823385,32.36,34.95,28.62,23.93
2025-12-04 11:43:10,1764823390,34.21,23.91,30.05,20.35
2025-12-04 11:43:15,1764823395,34.21,23.91,30.05,20.35
2025-12-04 11:43:20,1764823400,34.21,23.91,30.05,20.35
2025-12-04 11:43:25,1764823405,29.52,26.24,20.55,25.19
2025-12-04 11:43:30,1764823410,29.52,26.24,20.55,25.19
